ZIPCODE,Vehicle Count,The State Federal Information Processing System (FIPS) code,The State associated with the ZIP code,Number of returns [3],Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number of returns with paid preparer's signature,Number of returns with direct deposit,Number of returns with virtual currency indicator,Number of individuals [4],Total number of volunteer prepared returns [5],Number of volunteer income tax assistance (VITA) prepared returns [5],Number of tax counseling for the elderly (TCE) prepared returns [5],Number of refund anticipation check returns [6],Number of elderly returns [7],Salaries and wages amount,Taxable interest amount,Ordinary dividends amount,Qualified dividends amount [9],State and local income tax refunds amount,Business or professional net income (less loss) amount,Net capital gain (less loss) amount,Taxable individual retirement arrangements distributions amount,Taxable pensions and annuities amount,Number of farm returns,Unemployment compensation amount [10],Taxable Social Security benefits amount,Partnership/S-corp net income (less loss) amount,Educator expenses amount,Self-employed (Keogh) retirement plans amount,Self-employed health insurance deduction amount,Individual retirement arrangement payments amount,Student loan interest deduction amount,Charitable contributions if took standard deduction,Basic standard deduction amount,Additional standard deduction amount,Total medical and dental expense deduction amount,State and local income taxes amount,State and local general sales tax amount,Real estate taxes amount,Personal property taxes amount,Limited state and local taxes,Home mortgage interest paid amount,Home mortgage from personal seller amount,Deductible points amount,Qualified mortgage insurance premiums amount,Investment interest paid amount,Total charitable contributions amount,Other non-limited miscellaneous deductions amount,Qualified business income deduction,Excess advance premium tax credit repayment amount,Foreign tax credit amount,Child and dependent care credit amount,Nonrefundable education credit amount,Retirement savings contribution credit amount,Nonrefundable child and other dependent credit amount,Residential energy tax credit amount,Self-employment tax amount,Advance premium tax credit amount,Earned income credit amount [12]  ,Excess earned income credit (refundable) amount [13]  ,Refundable child tax credit or additional child tax credit amount,Refundable education credit amount,Net premium tax credit amount,"Qualified sick and family leave credit for leave taken before April 1, 2021 amount",Refundable child and dependent care credit,"Qualified sick and family leave credit for leave taken after March 31, 2021",Recovery rebate credit amount [15],"Economic impact payment third round amount [16, 17]",Additional Medicare tax amount,Net investment income tax amount,Credited to next year’s estimated tax amount
98932,4,53,WA,2540.0,1190.0,780.0,560.0,2320.0,170.0,1330.0,1980.0,50.0,5500.0,20.0,0.0,20.0,440.0,270.0,91744.0,129.0,218.0,108.0,0.0,667.0,1747.0,494.0,2892.0,43.0,6070.0,1675.0,256.0,10.0,0.0,0.0,204.0,25.0,147.0,43838.0,347.0,704.0,0.0,152.0,84.0,0.0,274.0,149.0,0.0,0.0,0.0,0.0,505.0,0.0,489.0,0.0,2.0,0.0,114.0,30.0,165.0,54.0,270.0,0.0,1620.0,1227.0,3350.0,86.0,0.0,0.0,249.0,0.0,481.0,6471.0,0.0,0.0,0.0
98935,4,53,WA,1770.0,790.0,550.0,430.0,1660.0,80.0,1020.0,1290.0,40.0,3960.0,0.0,0.0,0.0,310.0,270.0,62734.0,180.0,270.0,164.0,0.0,1682.0,2811.0,654.0,3040.0,42.0,4798.0,1971.0,2771.0,0.0,0.0,0.0,0.0,0.0,120.0,30962.0,361.0,0.0,0.0,82.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,1576.0,0.0,0.0,0.0,69.0,21.0,133.0,18.0,540.0,0.0,1208.0,899.0,2477.0,53.0,0.0,0.0,125.0,0.0,332.0,4708.0,0.0,0.0,0.0
98936,13,53,WA,3150.0,1330.0,1320.0,480.0,2950.0,110.0,1470.0,2300.0,110.0,6750.0,0.0,0.0,0.0,460.0,620.0,161807.0,1365.0,1956.0,1411.0,0.0,3331.0,9970.0,3435.0,9443.0,43.0,5663.0,5364.0,22048.0,30.0,0.0,309.0,184.0,72.0,293.0,56023.0,816.0,898.0,0.0,247.0,439.0,16.0,721.0,893.0,0.0,0.0,64.0,0.0,1296.0,0.0,4358.0,0.0,12.0,0.0,192.0,39.0,203.0,98.0,930.0,272.0,1148.0,802.0,3521.0,111.0,36.0,0.0,378.0,0.0,512.0,8397.0,0.0,206.0,1491.0
98937,9,53,WA,2070.0,890.0,950.0,200.0,1940.0,60.0,1020.0,1320.0,60.0,4020.0,0.0,0.0,0.0,280.0,680.0,97997.0,1859.0,2867.0,1934.0,0.0,3310.0,12417.0,7108.0,13004.0,42.0,3092.0,7448.0,13664.0,12.0,0.0,284.0,122.0,48.0,209.0,36845.0,959.0,338.0,0.0,286.0,484.0,0.0,659.0,766.0,0.0,0.0,0.0,0.0,1125.0,0.0,3378.0,0.0,35.0,0.0,62.0,16.0,83.0,73.0,601.0,219.0,593.0,417.0,1519.0,33.0,25.0,0.0,74.0,0.0,246.0,4823.0,60.0,195.0,925.0
98938,5,53,WA,920.0,430.0,300.0,190.0,850.0,40.0,540.0,660.0,0.0,1970.0,0.0,0.0,0.0,130.0,150.0,38461.0,178.0,97.0,77.0,0.0,1267.0,5149.0,420.0,1344.0,65.0,1855.0,1019.0,460.0,0.0,0.0,0.0,0.0,0.0,79.0,15939.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,47.0,10.0,77.0,0.0,412.0,0.0,487.0,377.0,1049.0,26.0,0.0,0.0,69.0,0.0,143.0,2323.0,0.0,0.0,0.0
98942,45,53,WA,8790.0,3790.0,3740.0,1140.0,8280.0,280.0,3950.0,5840.0,380.0,17630.0,40.0,0.0,40.0,1360.0,2150.0,468062.0,7604.0,15922.0,12242.0,0.0,21318.0,88933.0,18364.0,46501.0,145.0,14212.0,25286.0,155363.0,71.0,1139.0,1870.0,738.0,189.0,951.0,152905.0,3181.0,2424.0,415.0,1333.0,2321.0,60.0,3215.0,4385.0,0.0,47.0,169.0,0.0,5146.0,585.0,28892.0,67.0,138.0,48.0,483.0,84.0,456.0,301.0,3414.0,727.0,2859.0,2101.0,7765.0,285.0,105.0,0.0,645.0,0.0,1204.0,20949.0,270.0,1608.0,6799.0
98944,22,53,WA,10010.0,4810.0,2870.0,2240.0,9410.0,400.0,5540.0,7130.0,220.0,21420.0,50.0,0.0,50.0,1570.0,1430.0,357466.0,2803.0,2532.0,1814.0,0.0,12414.0,15769.0,6382.0,17201.0,182.0,24465.0,11397.0,11761.0,62.0,0.0,842.0,318.0,125.0,762.0,170397.0,1873.0,2005.0,0.0,407.0,506.0,12.0,910.0,1007.0,0.0,0.0,51.0,0.0,2457.0,1344.0,5734.0,85.0,18.0,36.0,518.0,109.0,661.0,137.0,2617.0,826.0,6864.0,5059.0,13246.0,362.0,93.0,0.0,761.0,65.0,1805.0,25442.0,32.0,186.0,995.0
98946,2,53,WA,280.0,130.0,110.0,20.0,240.0,0.0,150.0,150.0,0.0,490.0,0.0,0.0,0.0,20.0,100.0,11219.0,28.0,107.0,59.0,0.0,280.0,2592.0,337.0,1579.0,0.0,234.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4505.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,47.0,35.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,0.0,0.0,0.0
98947,5,53,WA,1460.0,680.0,520.0,230.0,1390.0,40.0,860.0,1070.0,40.0,3040.0,0.0,0.0,0.0,200.0,260.0,61197.0,276.0,330.0,199.0,0.0,1004.0,3844.0,1457.0,2851.0,65.0,2307.0,2227.0,3948.0,0.0,0.0,0.0,0.0,23.0,89.0,25619.0,327.0,0.0,0.0,57.0,128.0,0.0,201.0,250.0,0.0,0.0,0.0,0.0,145.0,0.0,1596.0,0.0,3.0,0.0,61.0,18.0,80.0,0.0,380.0,92.0,769.0,600.0,1587.0,50.0,0.0,0.0,38.0,0.0,279.0,3651.0,0.0,55.0,0.0
98948,8,53,WA,5670.0,2720.0,1500.0,1400.0,5210.0,330.0,3180.0,4270.0,120.0,12040.0,80.0,0.0,80.0,1190.0,920.0,194802.0,370.0,752.0,428.0,0.0,4824.0,3037.0,1464.0,9449.0,58.0,14268.0,5124.0,4032.0,23.0,0.0,185.0,239.0,57.0,224.0,96358.0,1156.0,779.0,0.0,221.0,172.0,33.0,430.0,346.0,0.0,0.0,0.0,0.0,604.0,0.0,1594.0,16.0,2.0,0.0,272.0,68.0,429.0,27.0,936.0,280.0,4055.0,3064.0,7254.0,191.0,19.0,0.0,356.0,0.0,1048.0,15001.0,0.0,0.0,295.0
