ZIPCODE,Vehicle Count,The State Federal Information Processing System (FIPS) code,The State associated with the ZIP code,Number of returns [3],Number of single returns,Number of joint returns,Number of head of household returns,Number of electronically filed returns,Number of computer prepared paper returns,Number of returns with paid preparer's signature,Number of returns with direct deposit,Number of returns with virtual currency indicator,Number of individuals [4],Total number of volunteer prepared returns [5],Number of volunteer income tax assistance (VITA) prepared returns [5],Number of tax counseling for the elderly (TCE) prepared returns [5],Number of refund anticipation check returns [6],Number of elderly returns [7],Salaries and wages amount,Taxable interest amount,Ordinary dividends amount,Qualified dividends amount [9],State and local income tax refunds amount,Business or professional net income (less loss) amount,Net capital gain (less loss) amount,Taxable individual retirement arrangements distributions amount,Taxable pensions and annuities amount,Number of farm returns,Unemployment compensation amount [10],Taxable Social Security benefits amount,Partnership/S-corp net income (less loss) amount,Educator expenses amount,Self-employed (Keogh) retirement plans amount,Self-employed health insurance deduction amount,Individual retirement arrangement payments amount,Student loan interest deduction amount,Charitable contributions if took standard deduction,Basic standard deduction amount,Additional standard deduction amount,Total medical and dental expense deduction amount,State and local income taxes amount,State and local general sales tax amount,Real estate taxes amount,Personal property taxes amount,Limited state and local taxes,Home mortgage interest paid amount,Home mortgage from personal seller amount,Deductible points amount,Qualified mortgage insurance premiums amount,Investment interest paid amount,Total charitable contributions amount,Other non-limited miscellaneous deductions amount,Qualified business income deduction,Excess advance premium tax credit repayment amount,Foreign tax credit amount,Child and dependent care credit amount,Nonrefundable education credit amount,Retirement savings contribution credit amount,Nonrefundable child and other dependent credit amount,Residential energy tax credit amount,Self-employment tax amount,Advance premium tax credit amount,Earned income credit amount [12]  ,Excess earned income credit (refundable) amount [13]  ,Refundable child tax credit or additional child tax credit amount,Refundable education credit amount,Net premium tax credit amount,"Qualified sick and family leave credit for leave taken before April 1, 2021 amount",Refundable child and dependent care credit,"Qualified sick and family leave credit for leave taken after March 31, 2021",Recovery rebate credit amount [15],"Economic impact payment third round amount [16, 17]",Additional Medicare tax amount,Net investment income tax amount,Credited to next year’s estimated tax amount
2842,1,44,RI,8680.0,4850.0,2830.0,750.0,8070.0,360.0,4420.0,5190.0,390.0,14330.0,250.0,0.0,250.0,1020.0,2870.0,471300.0,4052.0,21279.0,14613.0,208.0,38782.0,89148.0,28766.0,67696.0,0.0,14009.0,31816.0,58234.0,54.0,2230.0,2304.0,881.0,350.0,1119.0,130040.0,3809.0,4598.0,8375.0,103.0,6299.0,109.0,7619.0,8073.0,0.0,38.0,115.0,125.0,6801.0,701.0,12919.0,244.0,265.0,62.0,460.0,82.0,440.0,371.0,5374.0,1249.0,1838.0,1313.0,4385.0,223.0,160.0,0.0,494.0,0.0,668.0,15925.0,519.0,2498.0,4943.0
2909,1,44,RI,21620.0,12570.0,3640.0,5000.0,20700.0,510.0,14510.0,16730.0,630.0,37620.0,590.0,560.0,30.0,3880.0,2180.0,692706.0,1034.0,2646.0,1796.0,150.0,38519.0,17588.0,3664.0,17232.0,0.0,67786.0,8728.0,10671.0,49.0,281.0,324.0,415.0,552.0,1249.0,336411.0,2325.0,984.0,2143.0,0.0,1424.0,169.0,3285.0,3003.0,0.0,0.0,406.0,0.0,2349.0,219.0,5849.0,626.0,33.0,81.0,1145.0,303.0,1053.0,490.0,6096.0,7637.0,16335.0,12074.0,20049.0,754.0,470.0,248.0,1487.0,151.0,2866.0,47603.0,53.0,229.0,448.0
6355,1,9,CT,6920.0,3590.0,2810.0,410.0,6510.0,200.0,3820.0,3760.0,310.0,11510.0,90.0,30.0,60.0,540.0,3010.0,464239.0,5607.0,49147.0,39784.0,247.0,43823.0,100327.0,60982.0,84194.0,0.0,9795.0,43153.0,41046.0,50.0,4362.0,2783.0,1114.0,253.0,1106.0,102944.0,3797.0,11843.0,13525.0,96.0,7415.0,394.0,9644.0,6549.0,0.0,23.0,122.0,750.0,9336.0,871.0,11082.0,165.0,528.0,49.0,308.0,40.0,315.0,326.0,5756.0,2036.0,773.0,529.0,2355.0,140.0,478.0,0.0,368.0,0.0,548.0,11325.0,889.0,3263.0,4882.0
6371,1,9,CT,5210.0,2450.0,2300.0,340.0,4790.0,200.0,3100.0,2530.0,200.0,9290.0,50.0,0.0,50.0,250.0,2290.0,444223.0,6287.0,69047.0,59269.0,109.0,45251.0,180193.0,45929.0,56958.0,0.0,7020.0,33009.0,58517.0,44.0,4146.0,3064.0,844.0,167.0,868.0,78057.0,2988.0,5748.0,22089.0,54.0,8402.0,354.0,7919.0,7937.0,0.0,24.0,37.0,824.0,16764.0,1197.0,12700.0,153.0,2416.0,0.0,234.0,24.0,274.0,295.0,6272.0,1568.0,531.0,355.0,2150.0,130.0,331.0,0.0,235.0,0.0,465.0,8052.0,1304.0,6463.0,11520.0
6443,2,9,CT,9100.0,4060.0,4390.0,440.0,8430.0,340.0,5460.0,4180.0,440.0,17270.0,140.0,0.0,140.0,420.0,3610.0,985867.0,9912.0,81621.0,57992.0,148.0,102396.0,292420.0,74410.0,87808.0,0.0,10578.0,53942.0,170665.0,89.0,11383.0,5812.0,1386.0,335.0,1643.0,133247.0,4622.0,8308.0,43784.0,147.0,19470.0,853.0,16295.0,18130.0,371.0,156.0,172.0,980.0,21841.0,1778.0,27097.0,209.0,1197.0,78.0,571.0,35.0,593.0,385.0,13197.0,2507.0,623.0,414.0,3957.0,311.0,598.0,0.0,652.0,0.0,752.0,12722.0,3468.0,9352.0,16393.0
8540,1,34,NJ,21640.0,9590.0,10090.0,1350.0,20080.0,780.0,12680.0,9560.0,1530.0,43040.0,230.0,100.0,130.0,850.0,6020.0,3494859.0,54450.0,298184.0,229053.0,709.0,197653.0,1334533.0,178806.0,159546.0,62.0,27420.0,98745.0,557267.0,111.0,28899.0,11843.0,3399.0,470.0,3169.0,300907.0,6479.0,26304.0,258782.0,855.0,88948.0,414.0,44473.0,52054.0,1007.0,176.0,36.0,11093.0,116505.0,26272.0,55024.0,468.0,25611.0,174.0,1274.0,90.0,1640.0,922.0,28459.0,4528.0,2210.0,1546.0,9147.0,666.0,752.0,101.0,1352.0,143.0,2216.0,25987.0,15637.0,49897.0,77500.0
8641,1,34,NJ,1600.0,500.0,860.0,110.0,1570.0,20.0,450.0,1430.0,200.0,3960.0,0.0,0.0,0.0,290.0,0.0,84612.0,47.0,352.0,182.0,0.0,168.0,1973.0,0.0,1395.0,0.0,1040.0,0.0,0.0,0.0,0.0,0.0,31.0,60.0,134.0,30918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,2.0,0.0,126.0,138.0,54.0,0.0,64.0,0.0,814.0,598.0,2697.0,62.0,0.0,0.0,434.0,0.0,323.0,5213.0,0.0,0.0,0.0
12833,1,36,NY,2270.0,1040.0,970.0,210.0,2200.0,30.0,1140.0,1480.0,70.0,4230.0,0.0,0.0,0.0,310.0,690.0,144891.0,682.0,2949.0,2150.0,25.0,10768.0,14065.0,6704.0,18214.0,0.0,4166.0,8263.0,15289.0,10.0,654.0,646.0,231.0,68.0,294.0,36929.0,916.0,182.0,3852.0,0.0,1701.0,0.0,2084.0,2338.0,0.0,0.0,0.0,0.0,1291.0,0.0,3526.0,0.0,45.0,0.0,133.0,16.0,141.0,16.0,1411.0,99.0,568.0,409.0,1411.0,74.0,0.0,0.0,133.0,0.0,229.0,4764.0,144.0,340.0,702.0
13603,1,36,NY,3420.0,580.0,2410.0,180.0,3370.0,30.0,1310.0,3140.0,350.0,9950.0,0.0,0.0,0.0,980.0,0.0,170663.0,120.0,308.0,180.0,0.0,393.0,2934.0,95.0,1360.0,0.0,2297.0,0.0,0.0,5.0,0.0,0.0,125.0,177.0,199.0,73440.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,21.0,0.0,287.0,324.0,125.0,0.0,176.0,0.0,3006.0,2254.0,7605.0,140.0,0.0,0.0,548.0,0.0,840.0,13254.0,0.0,0.0,0.0
20002,2,11,DC,37000.0,25730.0,5780.0,4380.0,34990.0,980.0,13810.0,24500.0,2730.0,54440.0,380.0,270.0,110.0,6510.0,3990.0,3240307.0,6130.0,42254.0,30015.0,2052.0,120149.0,173002.0,33548.0,118288.0,0.0,45345.0,25643.0,175691.0,150.0,16311.0,4928.0,1981.0,1794.0,3056.0,439530.0,3721.0,12521.0,114716.0,503.0,32299.0,579.0,63084.0,87397.0,1372.0,552.0,787.0,867.0,43908.0,2227.0,24916.0,147.0,3198.0,252.0,2396.0,187.0,1230.0,1127.0,22496.0,1020.0,10483.0,7885.0,15751.0,694.0,289.0,443.0,2765.0,513.0,3844.0,49455.0,5664.0,4577.0,11785.0
20111,2,51,VA,19060.0,9710.0,6210.0,2520.0,17500.0,970.0,11020.0,12220.0,910.0,36090.0,130.0,30.0,100.0,1800.0,3070.0,1036702.0,3094.0,9610.0,7220.0,897.0,53734.0,41227.0,19536.0,82197.0,0.0,12177.0,26286.0,48139.0,85.0,1220.0,1643.0,1332.0,452.0,1550.0,278518.0,3257.0,7030.0,17651.0,224.0,13881.0,1418.0,23185.0,27924.0,344.0,261.0,1461.0,46.0,14122.0,1858.0,12273.0,479.0,132.0,156.0,1222.0,192.0,1338.0,252.0,9038.0,8297.0,7589.0,4948.0,15669.0,750.0,415.0,79.0,1344.0,120.0,2673.0,38732.0,499.0,991.0,892.0
20152,1,51,VA,16100.0,6070.0,8490.0,1100.0,15310.0,480.0,7980.0,8760.0,1600.0,37070.0,70.0,20.0,50.0,880.0,2240.0,1918785.0,7351.0,24289.0,17125.0,923.0,65155.0,202849.0,26699.0,64411.0,0.0,13124.0,18885.0,154741.0,122.0,5796.0,4233.0,2581.0,291.0,1866.0,212286.0,2128.0,6500.0,55006.0,568.0,28062.0,3374.0,42226.0,61017.0,862.0,534.0,383.0,749.0,32692.0,2598.0,32397.0,496.0,1710.0,253.0,1339.0,94.0,1875.0,627.0,10258.0,8468.0,2344.0,1501.0,13702.0,814.0,467.0,134.0,2056.0,178.0,1824.0,27283.0,3064.0,6081.0,10057.0
20637,1,24,MD,3060.0,1330.0,1270.0,290.0,2770.0,160.0,1600.0,1860.0,130.0,5800.0,0.0,0.0,0.0,340.0,890.0,231602.0,712.0,2512.0,1641.0,391.0,4865.0,8248.0,5855.0,41074.0,20.0,1852.0,9085.0,5843.0,17.0,0.0,375.0,243.0,64.0,329.0,36724.0,821.0,1837.0,9432.0,84.0,5251.0,55.0,8772.0,10980.0,211.0,104.0,347.0,0.0,6704.0,390.0,2387.0,0.0,17.0,34.0,144.0,15.0,273.0,44.0,1172.0,243.0,518.0,364.0,1942.0,82.0,26.0,0.0,273.0,0.0,383.0,5456.0,123.0,207.0,1333.0
20653,1,24,MD,11340.0,5800.0,3190.0,1960.0,10650.0,360.0,4410.0,8170.0,630.0,20880.0,100.0,30.0,70.0,2410.0,1910.0,637788.0,2125.0,7616.0,5181.0,731.0,10023.0,19665.0,12778.0,75489.0,21.0,8884.0,17910.0,6433.0,51.0,0.0,274.0,584.0,344.0,940.0,163964.0,1985.0,4484.0,14447.0,63.0,4963.0,145.0,13891.0,13048.0,102.0,117.0,713.0,175.0,9723.0,998.0,2476.0,121.0,38.0,59.0,555.0,131.0,613.0,185.0,2190.0,1166.0,5548.0,4291.0,9715.0,339.0,107.0,31.0,1071.0,67.0,1602.0,23638.0,97.0,413.0,880.0
20732,1,24,MD,5190.0,2350.0,2010.0,660.0,4870.0,170.0,2310.0,3370.0,240.0,10050.0,30.0,0.0,30.0,700.0,1250.0,378781.0,1013.0,6074.0,4767.0,518.0,8978.0,14923.0,12831.0,47606.0,0.0,4175.0,14050.0,7388.0,40.0,558.0,623.0,271.0,192.0,578.0,69281.0,1261.0,2788.0,11540.0,79.0,4842.0,85.0,11120.0,12099.0,90.0,119.0,434.0,0.0,6471.0,1262.0,2814.0,46.0,42.0,66.0,299.0,32.0,392.0,167.0,1565.0,394.0,957.0,692.0,4103.0,177.0,66.0,0.0,742.0,0.0,665.0,10275.0,158.0,309.0,764.0
20762,1,24,MD,1060.0,360.0,540.0,90.0,1020.0,0.0,320.0,870.0,140.0,2420.0,0.0,0.0,0.0,210.0,50.0,64605.0,70.0,235.0,157.0,0.0,-68.0,1363.0,0.0,4136.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,98.0,19784.0,0.0,0.0,197.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,46.0,0.0,1.0,0.0,101.0,78.0,40.0,0.0,47.0,0.0,471.0,333.0,1420.0,47.0,0.0,0.0,252.0,0.0,189.0,3075.0,0.0,0.0,0.0
20774,2,24,MD,28290.0,15380.0,5820.0,5270.0,25120.0,1740.0,14780.0,18290.0,1040.0,46670.0,200.0,150.0,50.0,4750.0,7510.0,1860453.0,2777.0,6205.0,4358.0,6455.0,9672.0,32330.0,27458.0,302552.0,21.0,30510.0,61643.0,37915.0,191.0,1661.0,1327.0,847.0,942.0,2100.0,269761.0,5494.0,26063.0,91455.0,1438.0,50127.0,1365.0,94515.0,101835.0,868.0,1019.0,3518.0,74.0,107819.0,10237.0,11917.0,362.0,29.0,515.0,1762.0,191.0,2450.0,1574.0,8698.0,3024.0,7401.0,5168.0,15301.0,1093.0,335.0,459.0,3501.0,499.0,3238.0,47898.0,987.0,633.0,614.0
20814,1,24,MD,16020.0,8960.0,5660.0,880.0,14650.0,660.0,8470.0,7240.0,1020.0,27310.0,80.0,40.0,40.0,810.0,5000.0,2121482.0,38477.0,221945.0,167143.0,1119.0,149025.0,1045318.0,128915.0,182191.0,0.0,10932.0,75243.0,487135.0,64.0,28994.0,10763.0,1643.0,393.0,1561.0,180095.0,4652.0,31847.0,204844.0,538.0,46500.0,313.0,43241.0,54398.0,1701.0,281.0,77.0,15282.0,191853.0,3810.0,50205.0,218.0,14016.0,96.0,670.0,60.0,733.0,255.0,27977.0,2221.0,1331.0,839.0,4766.0,281.0,381.0,40.0,878.0,29.0,1423.0,16763.0,10220.0,39174.0,75949.0
20878,1,24,MD,32230.0,14920.0,13360.0,2940.0,28960.0,1920.0,15850.0,16830.0,2200.0,62020.0,230.0,140.0,90.0,2130.0,8240.0,3175171.0,18034.0,98149.0,70025.0,1993.0,165400.0,440871.0,123057.0,225614.0,23.0,32733.0,102302.0,274782.0,204.0,20327.0,10612.0,5285.0,715.0,3476.0,429389.0,8908.0,24604.0,139902.0,626.0,48701.0,693.0,69624.0,85262.0,1040.0,661.0,568.0,1796.0,52921.0,4119.0,51529.0,661.0,3927.0,416.0,1811.0,183.0,2597.0,753.0,27320.0,7500.0,5950.0,3930.0,17994.0,1021.0,896.0,150.0,2645.0,160.0,3485.0,48393.0,6899.0,13957.0,27816.0
21036,1,24,MD,1050.0,420.0,560.0,50.0,970.0,60.0,530.0,520.0,70.0,2270.0,0.0,0.0,0.0,40.0,350.0,131270.0,884.0,7241.0,5908.0,44.0,6489.0,32756.0,4708.0,13852.0,0.0,317.0,4834.0,28214.0,5.0,860.0,620.0,178.0,0.0,124.0,12648.0,400.0,537.0,8797.0,29.0,3275.0,14.0,3341.0,4887.0,0.0,36.0,0.0,0.0,3469.0,0.0,4883.0,0.0,53.0,0.0,49.0,5.0,90.0,39.0,1061.0,0.0,73.0,46.0,542.0,28.0,0.0,0.0,95.0,0.0,92.0,1307.0,359.0,1243.0,1177.0
21037,1,24,MD,10930.0,5360.0,4340.0,920.0,9980.0,510.0,5700.0,5990.0,560.0,20020.0,60.0,0.0,60.0,870.0,3210.0,939710.0,7261.0,33900.0,24754.0,1031.0,46351.0,151114.0,44643.0,103887.0,0.0,7726.0,40752.0,142954.0,76.0,4809.0,3871.0,1086.0,214.0,1138.0,131901.0,3363.0,9530.0,51124.0,339.0,18920.0,237.0,28780.0,37347.0,574.0,327.0,711.0,987.0,19706.0,2324.0,27217.0,156.0,850.0,99.0,478.0,55.0,746.0,160.0,8230.0,1194.0,1414.0,941.0,5891.0,240.0,170.0,18.0,1047.0,10.0,1133.0,17217.0,1818.0,4364.0,11969.0
21040,1,24,MD,11870.0,5920.0,2510.0,2970.0,11100.0,390.0,4760.0,9060.0,330.0,21580.0,70.0,30.0,40.0,3070.0,2160.0,478246.0,785.0,1812.0,1202.0,840.0,8220.0,8226.0,7721.0,45554.0,0.0,15325.0,17012.0,3036.0,37.0,0.0,216.0,376.0,274.0,1021.0,176380.0,2463.0,5260.0,7659.0,161.0,2631.0,146.0,8768.0,7602.0,0.0,65.0,547.0,0.0,9028.0,593.0,2019.0,157.0,8.0,90.0,538.0,173.0,776.0,241.0,2459.0,1462.0,7848.0,5989.0,10957.0,370.0,154.0,396.0,1636.0,407.0,1646.0,27576.0,38.0,44.0,213.0
21054,1,24,MD,6920.0,3060.0,3050.0,580.0,6380.0,290.0,3290.0,3860.0,380.0,13690.0,50.0,0.0,50.0,570.0,1910.0,629800.0,4405.0,13696.0,9368.0,802.0,16893.0,66379.0,21198.0,84988.0,0.0,4383.0,23734.0,77743.0,54.0,1660.0,1457.0,657.0,163.0,746.0,83738.0,2226.0,6269.0,28523.0,230.0,10686.0,119.0,18883.0,24434.0,328.0,259.0,378.0,134.0,15378.0,2182.0,14812.0,61.0,141.0,84.0,344.0,39.0,495.0,242.0,3627.0,771.0,858.0,592.0,4704.0,205.0,135.0,0.0,791.0,0.0,719.0,11057.0,869.0,1846.0,5492.0
21157,1,24,MD,18320.0,8710.0,7570.0,1560.0,17020.0,720.0,8790.0,11230.0,710.0,34090.0,350.0,180.0,170.0,1860.0,5520.0,1158254.0,4763.0,22256.0,15680.0,1315.0,42520.0,82337.0,49855.0,131772.0,123.0,13271.0,64731.0,57824.0,135.0,2598.0,3889.0,1957.0,621.0,2162.0,270300.0,6953.0,11752.0,32912.0,186.0,12611.0,243.0,26456.0,27105.0,293.0,289.0,775.0,269.0,18886.0,1339.0,16370.0,340.0,151.0,280.0,974.0,140.0,1100.0,421.0,7419.0,2484.0,3841.0,2761.0,11891.0,536.0,405.0,0.0,1557.0,0.0,1844.0,36899.0,737.0,1346.0,3349.0
22015,2,51,VA,20500.0,8910.0,9510.0,1500.0,18940.0,870.0,9410.0,11360.0,1250.0,41360.0,140.0,40.0,100.0,1150.0,5730.0,1687944.0,10558.0,44057.0,29732.0,1216.0,62894.0,144877.0,73599.0,266380.0,0.0,16786.0,75379.0,64759.0,188.0,4056.0,3317.0,2672.0,436.0,2456.0,277357.0,6722.0,14109.0,43382.0,597.0,33140.0,2618.0,46041.0,56811.0,494.0,477.0,701.0,370.0,34073.0,1689.0,16815.0,380.0,429.0,185.0,1480.0,139.0,1656.0,370.0,10977.0,8616.0,3237.0,2128.0,13515.0,862.0,482.0,119.0,1965.0,53.0,1811.0,35950.0,1444.0,3233.0,4424.0
22060,1,51,VA,3160.0,890.0,1930.0,220.0,3030.0,70.0,1130.0,2400.0,270.0,8830.0,0.0,0.0,0.0,520.0,460.0,212013.0,838.0,5590.0,3949.0,163.0,2933.0,15721.0,6789.0,32197.0,0.0,1467.0,7732.0,81.0,8.0,0.0,0.0,122.0,120.0,333.0,57090.0,340.0,7265.0,2628.0,54.0,1219.0,142.0,2821.0,2416.0,0.0,0.0,0.0,0.0,3195.0,0.0,627.0,0.0,35.0,0.0,316.0,149.0,271.0,0.0,549.0,0.0,1124.0,759.0,6102.0,138.0,0.0,0.0,846.0,0.0,502.0,10856.0,41.0,285.0,419.0
22308,1,51,VA,5960.0,2080.0,3510.0,230.0,5400.0,290.0,2840.0,2530.0,300.0,13670.0,30.0,0.0,30.0,260.0,1920.0,908658.0,8382.0,50811.0,38793.0,426.0,47418.0,219623.0,38478.0,113024.0,0.0,2054.0,29552.0,136796.0,41.0,8357.0,3706.0,669.0,79.0,726.0,64477.0,1967.0,7694.0,54321.0,354.0,23717.0,1596.0,23245.0,35362.0,333.0,200.0,0.0,528.0,22099.0,192.0,15603.0,73.0,896.0,70.0,213.0,16.0,473.0,165.0,8202.0,666.0,230.0,163.0,3865.0,114.0,42.0,0.0,700.0,0.0,534.0,6671.0,3152.0,6384.0,10422.0
22314,2,51,VA,21590.0,13940.0,5850.0,1130.0,20320.0,550.0,9380.0,11430.0,1590.0,31710.0,130.0,80.0,50.0,1800.0,4820.0,2591878.0,26475.0,193152.0,152265.0,1023.0,147009.0,549481.0,113485.0,227349.0,24.0,12797.0,70313.0,375464.0,84.0,23946.0,9617.0,1622.0,765.0,1976.0,244734.0,4045.0,20234.0,136866.0,698.0,53708.0,3264.0,54913.0,70214.0,1286.0,327.0,325.0,4072.0,78652.0,2383.0,32142.0,271.0,8966.0,53.0,1008.0,97.0,509.0,281.0,25018.0,2147.0,2498.0,1872.0,4786.0,313.0,240.0,0.0,977.0,36.0,1570.0,21778.0,8480.0,20101.0,40572.0
22405,1,51,VA,16570.0,7340.0,6870.0,1900.0,15560.0,540.0,6360.0,11140.0,820.0,33390.0,140.0,90.0,50.0,2440.0,3730.0,1094711.0,4320.0,16794.0,12365.0,997.0,33976.0,72119.0,30839.0,153269.0,56.0,7613.0,42903.0,51793.0,125.0,1476.0,1749.0,1128.0,580.0,1822.0,251499.0,4750.0,8337.0,20370.0,217.0,8651.0,1750.0,21748.0,26741.0,207.0,322.0,1123.0,209.0,22207.0,1255.0,11146.0,219.0,165.0,170.0,1013.0,159.0,1147.0,1394.0,6137.0,3081.0,4957.0,3620.0,14396.0,566.0,196.0,66.0,1711.0,65.0,1963.0,36603.0,497.0,1485.0,1491.0
22408,1,51,VA,15540.0,7450.0,5480.0,2110.0,14610.0,530.0,5660.0,10760.0,720.0,29760.0,180.0,120.0,60.0,2610.0,3080.0,916911.0,3143.0,12687.0,9672.0,903.0,20405.0,60641.0,20333.0,105561.0,24.0,8213.0,32236.0,43039.0,110.0,581.0,1319.0,844.0,532.0,1540.0,233863.0,3648.0,7815.0,16126.0,174.0,5780.0,1480.0,16131.0,18810.0,159.0,157.0,1053.0,350.0,17355.0,1256.0,9507.0,205.0,90.0,88.0,970.0,158.0,1032.0,777.0,4738.0,2682.0,5559.0,4145.0,13046.0,605.0,195.0,74.0,1433.0,81.0,2005.0,33804.0,262.0,1253.0,2623.0
22901,2,51,VA,17580.0,9050.0,6430.0,1750.0,16340.0,640.0,7620.0,10020.0,810.0,32090.0,350.0,220.0,130.0,1750.0,5590.0,1205127.0,25066.0,134755.0,104136.0,699.0,84119.0,1117300.0,88294.0,144349.0,66.0,8816.0,81920.0,207038.0,74.0,8653.0,6530.0,2099.0,511.0,1994.0,256840.0,7170.0,18441.0,74381.0,182.0,15282.0,1661.0,21378.0,21916.0,266.0,90.0,154.0,6210.0,118232.0,446.0,31468.0,432.0,6788.0,126.0,911.0,136.0,851.0,584.0,14495.0,5187.0,5116.0,3740.0,10555.0,428.0,389.0,73.0,1520.0,86.0,1921.0,31373.0,2923.0,40796.0,39017.0
23185,1,51,VA,23330.0,10920.0,9730.0,2090.0,21740.0,780.0,9500.0,13850.0,970.0,42600.0,630.0,140.0,490.0,2710.0,8580.0,1346222.0,18751.0,130994.0,102615.0,1195.0,71087.0,497225.0,160094.0,311542.0,29.0,12028.0,136324.0,147820.0,137.0,6978.0,6944.0,2235.0,776.0,3173.0,354921.0,11467.0,25905.0,42044.0,530.0,13466.0,2236.0,26456.0,27832.0,586.0,186.0,503.0,2580.0,56545.0,1567.0,29967.0,489.0,2094.0,86.0,1241.0,224.0,1183.0,723.0,11186.0,4974.0,6206.0,4790.0,13529.0,671.0,326.0,63.0,1605.0,63.0,2618.0,45166.0,2140.0,13037.0,20089.0
23321,2,51,VA,17910.0,7780.0,6860.0,2620.0,16830.0,510.0,6720.0,12390.0,800.0,34890.0,200.0,40.0,160.0,3210.0,4640.0,987115.0,5008.0,15378.0,11185.0,997.0,18931.0,66604.0,30834.0,168227.0,0.0,8811.0,50222.0,61963.0,146.0,911.0,1687.0,1241.0,615.0,2283.0,275664.0,6039.0,11593.0,15864.0,356.0,7937.0,1516.0,18256.0,19950.0,174.0,140.0,1006.0,142.0,22386.0,1302.0,13360.0,206.0,94.0,175.0,1309.0,251.0,1282.0,1070.0,4575.0,3740.0,6726.0,5183.0,14626.0,769.0,212.0,91.0,2573.0,88.0,2135.0,42182.0,376.0,1143.0,2643.0
23435,1,51,VA,15850.0,6900.0,6310.0,2090.0,14930.0,460.0,6080.0,10600.0,770.0,30860.0,120.0,30.0,90.0,2600.0,3790.0,1032593.0,4651.0,16617.0,11855.0,977.0,18902.0,92636.0,32277.0,156353.0,0.0,7889.0,43616.0,79897.0,119.0,1990.0,1855.0,1231.0,649.0,1865.0,233140.0,4437.0,10261.0,23894.0,379.0,11685.0,1995.0,23065.0,25957.0,286.0,262.0,1014.0,1262.0,28426.0,1283.0,15314.0,285.0,163.0,115.0,1241.0,207.0,1170.0,907.0,5053.0,2894.0,4848.0,3717.0,12477.0,671.0,163.0,93.0,2363.0,117.0,1868.0,35233.0,862.0,1510.0,5210.0
23456,1,51,VA,27620.0,11500.0,13210.0,2190.0,26070.0,800.0,12070.0,17420.0,1620.0,55820.0,110.0,20.0,90.0,3000.0,7280.0,1909764.0,9930.0,38751.0,28222.0,1344.0,61492.0,176666.0,65938.0,295892.0,35.0,13607.0,94620.0,166447.0,229.0,3421.0,5045.0,3055.0,989.0,3766.0,425865.0,9389.0,12877.0,40785.0,659.0,19631.0,2617.0,36988.0,49172.0,507.0,442.0,1135.0,322.0,31376.0,3653.0,36168.0,550.0,592.0,256.0,2040.0,311.0,2136.0,1609.0,10250.0,6839.0,5379.0,3869.0,20492.0,1184.0,528.0,102.0,3519.0,81.0,3005.0,60726.0,1357.0,3565.0,5868.0
23464,1,51,VA,35360.0,16660.0,13150.0,4340.0,33140.0,1080.0,13670.0,24790.0,1840.0,65520.0,270.0,80.0,190.0,5750.0,9210.0,1729120.0,8698.0,25008.0,17608.0,1339.0,42573.0,92306.0,63945.0,295132.0,24.0,19330.0,104514.0,56951.0,228.0,1259.0,2389.0,2975.0,1284.0,4289.0,566850.0,12850.0,15428.0,19058.0,367.0,9979.0,1601.0,24287.0,25584.0,393.0,236.0,1613.0,132.0,29610.0,2049.0,16129.0,649.0,289.0,208.0,2430.0,601.0,2083.0,2268.0,8871.0,10104.0,12319.0,9107.0,25393.0,1411.0,582.0,386.0,4679.0,354.0,3749.0,82435.0,297.0,1538.0,3125.0
23503,1,51,VA,14080.0,7780.0,3590.0,2190.0,13270.0,360.0,4920.0,10520.0,710.0,23670.0,180.0,150.0,30.0,3160.0,2870.0,567015.0,2670.0,6436.0,4474.0,290.0,17367.0,26996.0,15289.0,66744.0,0.0,9743.0,22559.0,19052.0,45.0,586.0,726.0,751.0,408.0,1148.0,220449.0,3484.0,4042.0,4857.0,82.0,2928.0,350.0,5818.0,5541.0,0.0,45.0,460.0,0.0,5481.0,201.0,5906.0,192.0,53.0,44.0,677.0,322.0,523.0,442.0,3404.0,2671.0,7694.0,6065.0,9578.0,423.0,219.0,159.0,1413.0,158.0,1806.0,29863.0,99.0,678.0,1336.0
23602,1,51,VA,20360.0,10350.0,5930.0,3340.0,19090.0,650.0,6630.0,14720.0,840.0,35800.0,340.0,90.0,250.0,4380.0,4910.0,879343.0,3972.0,12534.0,8826.0,768.0,20998.0,40601.0,32156.0,141835.0,0.0,14475.0,50797.0,28581.0,105.0,645.0,1205.0,1421.0,658.0,2096.0,316241.0,6314.0,9758.0,9517.0,172.0,5328.0,986.0,12678.0,11141.0,112.0,85.0,685.0,81.0,14616.0,918.0,8697.0,268.0,73.0,94.0,1127.0,357.0,1006.0,422.0,4850.0,4447.0,10184.0,7907.0,14755.0,703.0,288.0,230.0,2214.0,287.0,2518.0,45554.0,161.0,509.0,1962.0
