Model,RMSE,R-squared,MAE,MSE
XGBoost_Regressor,69.21407326176023,0.8920632600784302,32.47301047719935,4790.587937484313
Decision_Tree_Regressor,79.61198784609248,0.8571970227079834,37.91749895659879,6338.068608806376
HistGradientBoosting_Regressor,76.95904869760996,0.8665557984630057,36.43886243976558,5922.695176441101
Random_Forest_Regressor,71.30168705871802,0.8854539974855006,32.29043010752688,5083.930577419356
